"part","FX_Thing","partnumber","testTime","testMonth","testDay","testYear","testHour","testMinute","metricName","metricispass","metricValue","yearWeek"
P1025598-01-U-ST15H0101126R1,P1025598-01-U:ST15H0101126R1,"1025598-01-U",2024-05-20 05:44:07.000,5,20,2024,5,44,"6208 Cage Failure",1,58.752182,21
P1025598-01-U-ST15H0101126R1,P1025598-01-U:ST15H0101126R1,"1025598-01-U",2024-05-20 05:44:07.000,5,20,2024,5,44,Max,1,554.625916,21
P1025598-01-U-ST15H0101126R1,P1025598-01-U:ST15H0101126R1,"1025598-01-U",2024-05-20 05:44:07.000,5,20,2024,5,44,Torque Inverter Side,1,311.259369,21
P1025598-01-U-ST15H0101126R1,P1025598-01-U:ST15H0101126R1,"1025598-01-U",2024-05-20 05:45:48.000,5,20,2024,5,45,Motor 1st Ord Max,1,0.144327,21
P1025598-01-U-ST15H0101126R1,P1025598-01-U:ST15H0101126R1,"1025598-01-U",2024-05-20 05:45:48.000,5,20,2024,5,45,Motor 2nd Order Max,1,0.032985,21
P1025598-01-U-ST15H0101126R1,P1025598-01-U:ST15H0101126R1,"1025598-01-U",2024-05-20 05:45:48.000,5,20,2024,5,45,Motor 1st Ord Avg,1,0.082564,21
P1025598-01-U-ST15H0101126R1,P1025598-01-U:ST15H0101126R1,"1025598-01-U",2024-05-20 05:45:48.000,5,20,2024,5,45,Motor 2nd Ord Avg,1,0.019896,21
P1025598-01-U-ST15H0101126R1,P1025598-01-U:ST15H0101126R1,"1025598-01-U",2024-05-20 05:45:48.000,5,20,2024,5,45,Motor 3rd Ord Avg,1,0.008087,21
P1025598-01-U-ST15H0101126R1,P1025598-01-U:ST15H0101126R1,"1025598-01-U",2024-05-20 05:45:48.000,5,20,2024,5,45,Motor 4th Ord Avg,1,0.054458,21
P1025598-01-U-ST15H0101126R1,P1025598-01-U:ST15H0101126R1,"1025598-01-U",2024-05-20 05:45:48.000,5,20,2024,5,45,Growl 4-6,1,0.073476,21
P1025598-01-U-ST15H0101126R1,P1025598-01-U:ST15H0101126R1,"1025598-01-U",2024-05-20 05:45:48.000,5,20,2024,5,45,DI Alert,1,0.000000,21
P1025598-01-U-ST15H0101126R1,P1025598-01-U:ST15H0101126R1,"1025598-01-U",2024-05-20 05:45:48.000,5,20,2024,5,45,Motor 3.6th Ord Avg,1,0.015335,21
P1025598-01-U-ST15H0101126R1,P1025598-01-U:ST15H0101126R1,"1025598-01-U",2024-05-20 05:45:48.000,5,20,2024,5,45,CH/Input Bearing Race Defect,1,1.239352,21
P1025598-01-U-ST15H0101126R1,P1025598-01-U:ST15H0101126R1,"1025598-01-U",2024-05-20 05:45:48.000,5,20,2024,5,45,CH/Input Bearing Ball Defect,1,1.216186,21
P1025598-01-U-ST15H0101126R1,P1025598-01-U:ST15H0101126R1,"1025598-01-U",2024-05-20 05:45:48.000,5,20,2024,5,45,CH Inter Bearing Race Defect,1,1.473363,21
P1025598-01-U-ST15H0101126R1,P1025598-01-U:ST15H0101126R1,"1025598-01-U",2024-05-20 05:45:48.000,5,20,2024,5,45,CH Inter Bearing Ball Defect,1,1.153543,21
P1025598-01-U-ST15H0101126R1,P1025598-01-U:ST15H0101126R1,"1025598-01-U",2024-05-20 05:45:48.000,5,20,2024,5,45,Inv Gear Side Tach Noise,1,-1.823872,21
P1025598-01-U-ST15H0101126R1,P1025598-01-U:ST15H0101126R1,"1025598-01-U",2024-05-20 05:45:48.000,5,20,2024,5,45,Inv Gear Tack Skipping,1,3470.000000,21
