"testID","isTestPass","part","FX_Thing","partnumber","testTime","testMonth","testDay","testYear","testHour","testMinute","metricName","metricispass","metricValue","yearWeek"
253173,1,P1025598-01-U-ST13L0030717R2,P1025598-01-U:ST13L0030717R2,"1025598-01-U",2024-06-03 06:43:10.000,6,3,2024,6,43,"6208 Cage Failure",1,49.188820,23
253173,1,P1025598-01-U-ST13L0030717R2,P1025598-01-U:ST13L0030717R2,"1025598-01-U",2024-06-03 06:43:10.000,6,3,2024,6,43,Max,1,429.695618,23
253173,1,P1025598-01-U-ST13L0030717R2,P1025598-01-U:ST13L0030717R2,"1025598-01-U",2024-06-03 06:43:10.000,6,3,2024,6,43,Torque Inverter Side,1,146.263199,23
253174,1,P1025598-01-U-ST13L0030717R2,P1025598-01-U:ST13L0030717R2,"1025598-01-U",2024-06-03 06:47:59.000,6,3,2024,6,47,"6208 Cage Failure",1,55.186283,23
253174,1,P1025598-01-U-ST13L0030717R2,P1025598-01-U:ST13L0030717R2,"1025598-01-U",2024-06-03 06:47:59.000,6,3,2024,6,47,Max,1,555.106079,23
253174,1,P1025598-01-U-ST13L0030717R2,P1025598-01-U:ST13L0030717R2,"1025598-01-U",2024-06-03 06:47:59.000,6,3,2024,6,47,Torque Inverter Side,1,315.289124,23
253175,1,P1025598-01-U-ST13L0030717R2,P1025598-01-U:ST13L0030717R2,"1025598-01-U",2024-06-03 06:49:40.000,6,3,2024,6,49,Motor 1st Ord Max,1,0.064324,23
253175,1,P1025598-01-U-ST13L0030717R2,P1025598-01-U:ST13L0030717R2,"1025598-01-U",2024-06-03 06:49:40.000,6,3,2024,6,49,Motor 2nd Order Max,1,0.079182,23
253175,1,P1025598-01-U-ST13L0030717R2,P1025598-01-U:ST13L0030717R2,"1025598-01-U",2024-06-03 06:49:40.000,6,3,2024,6,49,Motor 1st Ord Avg,1,0.047275,23
253175,1,P1025598-01-U-ST13L0030717R2,P1025598-01-U:ST13L0030717R2,"1025598-01-U",2024-06-03 06:49:40.000,6,3,2024,6,49,Motor 2nd Ord Avg,1,0.041047,23
253175,1,P1025598-01-U-ST13L0030717R2,P1025598-01-U:ST13L0030717R2,"1025598-01-U",2024-06-03 06:49:40.000,6,3,2024,6,49,Motor 3rd Ord Avg,1,0.055747,23
253175,1,P1025598-01-U-ST13L0030717R2,P1025598-01-U:ST13L0030717R2,"1025598-01-U",2024-06-03 06:49:40.000,6,3,2024,6,49,Motor 4th Ord Avg,1,0.056377,23
253175,1,P1025598-01-U-ST13L0030717R2,P1025598-01-U:ST13L0030717R2,"1025598-01-U",2024-06-03 06:49:40.000,6,3,2024,6,49,Growl 4-6,1,0.090500,23
253175,1,P1025598-01-U-ST13L0030717R2,P1025598-01-U:ST13L0030717R2,"1025598-01-U",2024-06-03 06:49:40.000,6,3,2024,6,49,DI Alert,1,0.000000,23
253175,1,P1025598-01-U-ST13L0030717R2,P1025598-01-U:ST13L0030717R2,"1025598-01-U",2024-06-03 06:49:40.000,6,3,2024,6,49,Motor 3.6th Ord Avg,1,0.013712,23
253175,1,P1025598-01-U-ST13L0030717R2,P1025598-01-U:ST13L0030717R2,"1025598-01-U",2024-06-03 06:49:40.000,6,3,2024,6,49,CH/Input Bearing Race Defect,1,1.174613,23
253175,1,P1025598-01-U-ST13L0030717R2,P1025598-01-U:ST13L0030717R2,"1025598-01-U",2024-06-03 06:49:40.000,6,3,2024,6,49,CH/Input Bearing Ball Defect,1,1.181658,23
253175,1,P1025598-01-U-ST13L0030717R2,P1025598-01-U:ST13L0030717R2,"1025598-01-U",2024-06-03 06:49:40.000,6,3,2024,6,49,CH Inter Bearing Race Defect,1,1.362164,23
253175,1,P1025598-01-U-ST13L0030717R2,P1025598-01-U:ST13L0030717R2,"1025598-01-U",2024-06-03 06:49:40.000,6,3,2024,6,49,CH Inter Bearing Ball Defect,1,1.115137,23
253175,1,P1025598-01-U-ST13L0030717R2,P1025598-01-U:ST13L0030717R2,"1025598-01-U",2024-06-03 06:49:40.000,6,3,2024,6,49,Inv Gear Side Tach Noise,1,-7.029792,23
253175,1,P1025598-01-U-ST13L0030717R2,P1025598-01-U:ST13L0030717R2,"1025598-01-U",2024-06-03 06:49:40.000,6,3,2024,6,49,Inv Gear Tack Skipping,1,4784.000000,23
253175,1,P1025598-01-U-ST13L0030717R2,P1025598-01-U:ST13L0030717R2,"1025598-01-U",2024-06-03 06:49:40.000,6,3,2024,6,49,"6308 Bearing Inner Race Defect",1,1.923508,23
253176,1,P1025598-01-U-ST13L0030717R2,P1025598-01-U:ST13L0030717R2,"1025598-01-U",2024-06-03 06:50:50.000,6,3,2024,6,50,A2 78 TSwp Coast Grms,1,0.004709,23
253176,1,P1025598-01-U-ST13L0030717R2,P1025598-01-U:ST13L0030717R2,"1025598-01-U",2024-06-03 06:50:50.000,6,3,2024,6,50,A1 78 TSwp Drive Grms,1,0.005492,23
253176,1,P1025598-01-U-ST13L0030717R2,P1025598-01-U:ST13L0030717R2,"1025598-01-U",2024-06-03 06:50:50.000,6,3,2024,6,50,A1 243 Tswp Coast Grms,1,0.062122,23
253176,1,P1025598-01-U-ST13L0030717R2,P1025598-01-U:ST13L0030717R2,"1025598-01-U",2024-06-03 06:50:50.000,6,3,2024,6,50,A1 243 Tswp Drive Grms-600Nm,1,0.148375,23
253176,1,P1025598-01-U-ST13L0030717R2,P1025598-01-U:ST13L0030717R2,"1025598-01-U",2024-06-03 06:50:50.000,6,3,2024,6,50,A1 TSwp Coast High Order Limit,1,-1.000000,23
253176,1,P1025598-01-U-ST13L0030717R2,P1025598-01-U:ST13L0030717R2,"1025598-01-U",2024-06-03 06:50:50.000,6,3,2024,6,50,A1 TSwp Drive High Order Limit,1,-1.000000,23
253176,1,P1025598-01-U-ST13L0030717R2,P1025598-01-U:ST13L0030717R2,"1025598-01-U",2024-06-03 06:50:50.000,6,3,2024,6,50,A1 TSwp Coast Low Order Limit,1,-1.000000,23
253176,1,P1025598-01-U-ST13L0030717R2,P1025598-01-U:ST13L0030717R2,"1025598-01-U",2024-06-03 06:50:50.000,6,3,2024,6,50,A1 TSwp Drive Low Order Limit,1,-1.000000,23
253176,1,P1025598-01-U-ST13L0030717R2,P1025598-01-U:ST13L0030717R2,"1025598-01-U",2024-06-03 06:50:50.000,6,3,2024,6,50,PosTorque Bias Range,1,127.847511,23
253176,1,P1025598-01-U-ST13L0030717R2,P1025598-01-U:ST13L0030717R2,"1025598-01-U",2024-06-03 06:50:50.000,6,3,2024,6,50,PosTorque Bias Range,1,127.847511,23
253176,1,P1025598-01-U-ST13L0030717R2,P1025598-01-U:ST13L0030717R2,"1025598-01-U",2024-06-03 06:50:50.000,6,3,2024,6,50,Torque Sweep Phase Gate Fault,1,0.000000,23
253176,1,P1025598-01-U-ST13L0030717R2,P1025598-01-U:ST13L0030717R2,"1025598-01-U",2024-06-03 06:50:50.000,6,3,2024,6,50,Stator Temp Delta,1,1.948347,23
253176,1,P1025598-01-U-ST13L0030717R2,P1025598-01-U:ST13L0030717R2,"1025598-01-U",2024-06-03 06:50:50.000,6,3,2024,6,50,Torque_Range_Satisfied,1,1891.809692,23
