"testID","isTestPass","part","FX_Thing","partnumber","testTime","testMonth","testDay","testYear","testHour","testMinute","metricName","metricispass","metricValue","yearWeek"
253662,1,P1025598-01-U-ST14J0065840R2,P1025598-01-U:ST14J0065840R2,"1025598-01-U",2024-06-10 05:37:17.000,6,10,2024,5,37,"6208 Cage Failure",1,56.543930,24
253662,1,P1025598-01-U-ST14J0065840R2,P1025598-01-U:ST14J0065840R2,"1025598-01-U",2024-06-10 05:37:17.000,6,10,2024,5,37,Max,1,554.949951,24
253662,1,P1025598-01-U-ST14J0065840R2,P1025598-01-U:ST14J0065840R2,"1025598-01-U",2024-06-10 05:37:17.000,6,10,2024,5,37,Torque Inverter Side,1,317.578400,24
253663,1,P1025598-01-U-ST14J0065840R2,P1025598-01-U:ST14J0065840R2,"1025598-01-U",2024-06-10 05:38:58.000,6,10,2024,5,38,Motor 1st Ord Max,1,0.192053,24
253663,1,P1025598-01-U-ST14J0065840R2,P1025598-01-U:ST14J0065840R2,"1025598-01-U",2024-06-10 05:38:58.000,6,10,2024,5,38,Motor 2nd Order Max,1,0.160541,24
253663,1,P1025598-01-U-ST14J0065840R2,P1025598-01-U:ST14J0065840R2,"1025598-01-U",2024-06-10 05:38:58.000,6,10,2024,5,38,Motor 1st Ord Avg,1,0.060769,24
253663,1,P1025598-01-U-ST14J0065840R2,P1025598-01-U:ST14J0065840R2,"1025598-01-U",2024-06-10 05:38:58.000,6,10,2024,5,38,Motor 2nd Ord Avg,1,0.081875,24
253663,1,P1025598-01-U-ST14J0065840R2,P1025598-01-U:ST14J0065840R2,"1025598-01-U",2024-06-10 05:38:58.000,6,10,2024,5,38,Motor 3rd Ord Avg,1,0.026902,24
253663,1,P1025598-01-U-ST14J0065840R2,P1025598-01-U:ST14J0065840R2,"1025598-01-U",2024-06-10 05:38:58.000,6,10,2024,5,38,Motor 4th Ord Avg,1,0.058650,24
253663,1,P1025598-01-U-ST14J0065840R2,P1025598-01-U:ST14J0065840R2,"1025598-01-U",2024-06-10 05:38:58.000,6,10,2024,5,38,Growl 4-6,1,0.084011,24
253663,1,P1025598-01-U-ST14J0065840R2,P1025598-01-U:ST14J0065840R2,"1025598-01-U",2024-06-10 05:38:58.000,6,10,2024,5,38,DI Alert,1,0.000000,24
253663,1,P1025598-01-U-ST14J0065840R2,P1025598-01-U:ST14J0065840R2,"1025598-01-U",2024-06-10 05:38:58.000,6,10,2024,5,38,Motor 3.6th Ord Avg,1,0.017551,24
253663,1,P1025598-01-U-ST14J0065840R2,P1025598-01-U:ST14J0065840R2,"1025598-01-U",2024-06-10 05:38:58.000,6,10,2024,5,38,CH/Input Bearing Race Defect,1,1.151725,24
253663,1,P1025598-01-U-ST14J0065840R2,P1025598-01-U:ST14J0065840R2,"1025598-01-U",2024-06-10 05:38:58.000,6,10,2024,5,38,CH/Input Bearing Ball Defect,1,1.160393,24
253663,1,P1025598-01-U-ST14J0065840R2,P1025598-01-U:ST14J0065840R2,"1025598-01-U",2024-06-10 05:38:58.000,6,10,2024,5,38,CH Inter Bearing Race Defect,1,1.239879,24
253663,1,P1025598-01-U-ST14J0065840R2,P1025598-01-U:ST14J0065840R2,"1025598-01-U",2024-06-10 05:38:58.000,6,10,2024,5,38,CH Inter Bearing Ball Defect,1,1.089249,24
253663,1,P1025598-01-U-ST14J0065840R2,P1025598-01-U:ST14J0065840R2,"1025598-01-U",2024-06-10 05:38:58.000,6,10,2024,5,38,Inv Gear Side Tach Noise,1,-6.520475,24
253663,1,P1025598-01-U-ST14J0065840R2,P1025598-01-U:ST14J0065840R2,"1025598-01-U",2024-06-10 05:38:58.000,6,10,2024,5,38,Inv Gear Tack Skipping,1,4583.000000,24
253663,1,P1025598-01-U-ST14J0065840R2,P1025598-01-U:ST14J0065840R2,"1025598-01-U",2024-06-10 05:38:58.000,6,10,2024,5,38,"6308 Bearing Inner Race Defect",1,1.523780,24
253664,1,P1025598-01-U-ST14J0065840R2,P1025598-01-U:ST14J0065840R2,"1025598-01-U",2024-06-10 05:40:07.000,6,10,2024,5,40,A2 78 TSwp Coast Grms,1,0.002066,24
253664,1,P1025598-01-U-ST14J0065840R2,P1025598-01-U:ST14J0065840R2,"1025598-01-U",2024-06-10 05:40:07.000,6,10,2024,5,40,A1 78 TSwp Drive Grms,1,0.012888,24
