,part,metricName,thing+metricName,PassingTest?,TimeToPass,TimeToPass_minutes,retestSuccess?,MachineHealth?
1192,P1025598-00-U-ST13B0008007,Intermediate Gear Clicking,P1025598-00-U:ST13B0008007+Intermediate Gear Clicking,True,0 days 03:21:28,201.46666666666667,False,False
1199,P1025598-00-U-ST13B0008007,Intermediate Gear Clicking Negative,P1025598-00-U:ST13B0008007+Intermediate Gear Clicking Negative,True,0 days 03:21:28,201.46666666666667,False,False
1350,P1025598-01-U-ST18F1055208,Motor 3rd Ord Avg,P1025598-01-U:ST18F1055208+Motor 3rd Ord Avg,True,0 days 00:05:30,5.5,True,False
1352,P1025598-01-U-ST18F1055208,Growl 4-6,P1025598-01-U:ST18F1055208+Growl 4-6,True,0 days 00:05:30,5.5,True,False
1442,P1025598-01-U-ST12L0003837,Motor 3rd Ord Avg,P1025598-01-U:ST12L0003837+Motor 3rd Ord Avg,True,0 days 00:05:28,5.466666666666667,True,False
1444,P1025598-01-U-ST12L0003837,Growl 4-6,P1025598-01-U:ST12L0003837+Growl 4-6,True,0 days 00:05:28,5.466666666666667,True,False
2500,P1025598-01-U-ST13E0014479,Motor 3rd Ord Avg,P1025598-01-U:ST13E0014479+Motor 3rd Ord Avg,True,0 days 00:05:04,5.066666666666666,True,False
2503,P1025598-01-U-ST13E0014479,DI Alert,P1025598-01-U:ST13E0014479+DI Alert,True,0 days 00:05:04,5.066666666666666,True,True
2738,P1025598-01-U-ST14L0073536,Input Gear Clicking Negative,P1025598-01-U:ST14L0073536+Input Gear Clicking Negative,True,0 days 00:05:44,5.733333333333333,True,False
3215,P1025598-00-U-ST13D0013706,CH/Input Bearing Ball Defect,P1025598-00-U:ST13D0013706+CH/Input Bearing Ball Defect,True,0 days 00:05:29,5.483333333333333,True,False
3217,P1025598-00-U-ST13D0013706,CH Inter Bearing Ball Defect,P1025598-00-U:ST13D0013706+CH Inter Bearing Ball Defect,True,0 days 00:05:29,5.483333333333333,True,False
3485,P1025598-00-U-ST13D0013719,Motor 3rd Ord Avg,P1025598-00-U:ST13D0013719+Motor 3rd Ord Avg,True,0 days 00:25:57,25.95,False,False
4528,P1025598-00-U-ST14L0072962R1,Motor 3rd Ord Avg,P1025598-00-U:ST14L0072962R1+Motor 3rd Ord Avg,True,0 days 00:05:36,5.6,True,False
4613,P1025598-00-U-ST13E0015376,6208 Cage Failure,P1025598-00-U:ST13E0015376+6208 Cage Failure,True,0 days 00:05:32,5.533333333333333,True,False
4977,P1025598-01-U-ST19E1068530,Input Gear Clicking Negative,P1025598-01-U:ST19E1068530+Input Gear Clicking Negative,True,0 days 00:09:29,9.483333333333333,True,False
4978,P1025598-01-U-ST19E1068530,Input Gear Clicking Positive,P1025598-01-U:ST19E1068530+Input Gear Clicking Positive,True,0 days 00:09:29,9.483333333333333,True,False
